file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
plant_001.ply,0,-0.088957,4.974390,0.463385,0.619613,0.370525,0.977742,-1.932526
plant_001.ply,1,0.207427,12.714756,1.037805,0.164496,0.142334,0.110451,-1.124782
plant_001.ply,2,-0.103170,1.901097,-0.036902,0.161363,0.192963,0.133939,0.164456
plant_001.ply,3,0.003461,4.200507,-0.028338,0.173159,0.178668,0.151363,0.245904
plant_001.ply,4,-0.119315,4.293737,0.109176,0.313610,0.200102,0.426456,-2.022208
plant_001.ply,5,-0.016151,4.279753,0.280612,0.217145,0.139352,0.153222,0.174602
plant_001.ply,6,-0.020740,4.558294,0.489466,0.279250,0.190868,0.298097,-1.253003
plant_001.ply,7,-0.080599,5.430979,0.416678,0.354284,0.246754,1.041236,0.632916
plant_001.ply,8,-0.093448,5.640965,0.291818,0.166846,0.143889,0.147795,-1.962085
plant_001.ply,9,0.608619,12.974850,0.319489,0.217507,0.119563,0.279988,-0.330890
plant_001.ply,10,0.058345,12.864073,0.917877,0.438412,0.322531,1.446488,-2.036342
plant_001.ply,11,-0.021547,5.655236,0.084526,0.240359,0.204020,0.188771,0.437796
plant_001.ply,12,0.229051,12.661985,0.574912,0.242545,0.145282,0.162251,0.001651
plant_001.ply,13,0.368810,12.973177,0.863401,0.229430,0.145193,0.054154,0.078007
plant_001.ply,14,0.028633,12.706228,0.711893,0.258814,0.168492,0.225737,-1.740130
shell_001.ply,0,0.082692,7.347660,1.362160,11.417341,0.783285,2.932453,-1.617653
window_001.ply,0,0.491280,10.239193,1.452954,3.571891,0.386610,2.126645,-1.661724
window_001.ply,1,0.021564,2.589712,1.244153,1.902849,0.385506,2.189811,-1.568274
